"Time (s)";"Acceleration (m/s²)"
2.513817733E1;1.102945670E-2
2.517852133E1;3.981734589E-2
2.521886533E1;-7.260487676E-3
2.525921033E1;2.668230683E-3
2.529958433E1;1.921292737E-2
2.533992933E1;-1.212946415E-2
2.538027333E1;2.115610331E-2
2.542061733E1;1.645406485E-3
2.546096133E1;9.512835145E-3
2.550130533E1;1.461248428E-2
2.554168033E1;-4.378819004E-2
2.558202433E1;-7.266188711E-3
2.562236933E1;3.332284346E-2
2.566271333E1;1.132678762E-2
2.570305733E1;-8.676390946E-3
2.574343233E1;-4.228340909E-2
2.578377633E1;-2.917862937E-2
2.582412033E1;-3.150158197E-2
2.586446533E1;-1.186210021E-2
2.590480933E1;-1.381799385E-2
2.594519187E1;-1.558180645E-2
2.598553587E1;-5.346577048E-2
2.602587988E1;-3.783820957E-2
2.606622387E1;-1.173726216E-2
2.610656887E1;-4.008251712E-2
2.614694287E1;-6.222665370E-2
2.618728788E1;-4.507954761E-2
2.622763187E1;-5.190251738E-2
2.626797588E1;-4.461586341E-2
2.630831987E1;-4.854358435E-2
2.634866487E1;-4.004187897E-2
2.638903888E1;-7.390690550E-2
2.642938388E1;-6.747116759E-2
2.646972787E1;-6.173768029E-2
2.651007188E1;-7.188464597E-2
2.655041587E1;-5.632695928E-2
2.659079087E1;-5.607859880E-2
2.663113488E1;-7.106457397E-2
2.667147988E1;-4.123734221E-2
2.671182387E1;-6.477954805E-2
2.675216787E1;-6.140014976E-2
2.679254288E1;-3.089683369E-2
2.683288687E1;-6.928234264E-2
2.687323088E1;-2.799983069E-2
2.691357487E1;-5.193482324E-2
2.695389862E1;-4.264798298E-2
2.699427263E1;-2.813139305E-2
2.703461763E1;-2.822041690E-2
2.707496162E1;-2.253195316E-2
2.711530563E1;-2.795699984E-2
2.715564962E1;-1.760450453E-2
2.719599462E1;-3.057611391E-2
2.723636863E1;-1.245530024E-2
2.727671363E1;-1.503143728E-2
2.731705762E1;-9.704331458E-3
2.735740162E1;-7.732942700E-3
2.739774562E1;-9.848903865E-3
2.743812062E1;9.587971866E-3
2.747846463E1;-7.349950075E-3
2.751880962E1;1.547407150E-2
2.755915362E1;-1.548123434E-2
2.759949762E1;1.551704854E-2
2.763987263E1;1.709477350E-2
2.768021662E1;1.011144385E-2
2.772056062E1;2.227774546E-2
2.776090562E1;3.141270429E-3
2.780124963E1;-9.502602518E-3
2.784162462E1;5.772137403E-2
2.788196862E1;-1.719286054E-2
2.792231262E1;-1.337492108E-2
2.796266371E1;2.326899469E-2
2.800300771E1;8.434608579E-3
2.804335271E1;3.084844798E-3
2.808372671E1;1.189996094E-2
2.812407171E1;1.275014609E-2
2.816441571E1;3.286179051E-2
2.820475971E1;-2.616906747E-2
2.824510371E1;1.517440170E-2
2.828547871E1;2.376717746E-2
2.832582271E1;1.139139935E-2
2.836616771E1;2.630077600E-3
2.840651171E1;4.558050781E-3
2.844685571E1;-6.934359223E-3
2.848723071E1;5.319533676E-2
2.852757471E1;-3.240716949E-2
2.856791871E1;3.061777532E-2
2.860826371E1;-8.128799200E-3
2.864860771E1;1.632469520E-2
2.868895171E1;-7.877368927E-3
2.872932671E1;2.238752693E-3
2.876967071E1;-1.700370312E-2
2.881001471E1;4.969665527E-2
2.885035971E1;-2.432222441E-2
2.889070371E1;-2.006355107E-2
2.893107871E1;7.406960428E-3
2.897143437E1;2.635924816E-2
2.901177838E1;3.719179988E-2
2.905212237E1;-5.070047602E-2
2.909246737E1;2.048732802E-2
2.913284138E1;3.987537950E-2
2.917318537E1;7.075130939E-4
2.921353037E1;7.613074780E-3
2.925387438E1;-1.672596037E-3
2.929421837E1;-2.396627516E-3
2.933459337E1;2.437294900E-2
